currency,volExpiry,timestamp,data,indexPrice,underlyingPrice,volATM,vol10C,vol10P,vol25C,vol25P
BTC,21-Oct-22,1.66574E+12,2022/10/14 9:00,19616.14,19601.65,0.4845,0.5089,0.5895,0.4861,0.5119
BTC,21-Oct-22,1.66582E+12,2022/10/15 9:00,19069.08,19062.24,0.4379,0.4734,0.5171,0.4412,0.457
BTC,21-Oct-22,1.66591E+12,2022/10/16 9:00,19166.86,19155.7,0.4693,0.5152,0.5878,0.4722,0.5011
BTC,21-Oct-22,1.666E+12,2022/10/17 9:00,19260.84,19251.91,0.5056,0.5769,0.6249,0.5128,0.5427
BTC,21-Oct-22,1.66608E+12,2022/10/18 9:00,19531.24,19519.34,0.4541,0.5403,0.5556,0.4683,0.4738
BTC,21-Oct-22,1.66617E+12,2022/10/19 9:00,19194.27,19188.53,0.4027,0.4555,0.531,0.4109,0.4358
BTC,21-Oct-22,1.66626E+12,2022/10/20 9:00,19115.93,19106.56,0.4284,0.4341,0.545,0.4329,0.472
BTC,28-Oct-22,1.66634E+12,2022/10/21 9:00,18978,18966.91,0.3967,0.4304,0.5386,0.397,0.4393
BTC,28-Oct-22,1.66643E+12,2022/10/22 9:00,19158.67,19147.51,0.3911,0.4646,0.5046,0.4026,0.4241
BTC,28-Oct-22,1.66652E+12,2022/10/23 9:00,19182.09,19181.91,0.3812,0.4278,0.4952,0.3858,0.4113
BTC,28-Oct-22,1.6666E+12,2022/10/24 9:00,19342.41,19337.25,0.4125,0.4615,0.5105,0.4142,0.4412
BTC,28-Oct-22,1.66669E+12,2022/10/25 9:00,19297.49,19292.11,0.3833,0.4589,0.4678,0.3966,0.4071
BTC,28-Oct-22,1.66677E+12,2022/10/26 9:00,20683.95,20688.61,0.4921,0.685,0.5747,0.5471,0.5159
BTC,28-Oct-22,1.66686E+12,2022/10/27 9:00,20715.98,20717.6,0.5133,0.6002,0.6027,0.5344,0.537
BTC,4-Nov-22,1.66695E+12,2022/10/28 9:00,20187.12,20180.31,0.4608,0.516,0.5722,0.469,0.4892
BTC,4-Nov-22,1.66703E+12,2022/10/29 9:00,20929.49,20925.16,0.4679,0.5667,0.5178,0.4898,0.4819
BTC,4-Nov-22,1.66712E+12,2022/10/30 9:00,20789.13,20785.64,0.529,0.5966,0.5872,0.5446,0.5398
BTC,4-Nov-22,1.66721E+12,2022/10/31 9:00,20489.09,20487.61,0.5577,0.6248,0.6194,0.5704,0.5708
BTC,4-Nov-22,1.66729E+12,2022/11/1 9:00,20582.3,20580.07,0.5435,0.6358,0.6426,0.563,0.5575
BTC,4-Nov-22,1.66738E+12,2022/11/2 9:00,20500.6,20502.08,0.6627,0.7644,0.8055,0.6884,0.7133
BTC,4-Nov-22,1.66747E+12,2022/11/3 9:00,20292.91,20294.75,0.3015,0.3378,0.3998,0.305,0.3272
BTC,11-Nov-22,1.66755E+12,2022/11/4 9:00,20589.14,20593.42,0.4357,0.4574,0.5093,0.4379,0.4613
BTC,11-Nov-22,1.66764E+12,2022/11/5 9:00,21294.74,21306.08,0.4434,0.5086,0.5271,0.4592,0.4623
BTC,11-Nov-22,1.66773E+12,2022/11/6 9:00,21256.1,21253.85,0.4346,0.4735,0.5256,0.4379,0.4554
BTC,11-Nov-22,1.66781E+12,2022/11/7 9:00,20720.35,20724.73,0.557,0.6124,0.6777,0.5565,0.5931
BTC,11-Nov-22,1.6679E+12,2022/11/8 9:00,19735.89,19736.16,0.5818,0.583,0.7602,0.5604,0.6279
BTC,11-Nov-22,1.66798E+12,2022/11/9 9:00,18133.84,18135.11,1.098,0.9608,1.6756,0.9827,1.317
BTC,11-Nov-22,1.66807E+12,2022/11/10 9:00,16783.85,16754.62,1.2448,1.2174,1.9465,1.1761,1.4447
BTC,18-Nov-22,1.66816E+12,2022/11/11 9:00,17359.06,17259.46,0.776,0.6625,1.2382,0.69,0.9664
BTC,18-Nov-22,1.66824E+12,2022/11/12 9:00,16794.06,16639.17,0.8625,0.7384,1.521,0.7605,1.121
BTC,18-Nov-22,1.66833E+12,2022/11/13 9:00,16618.72,16512.53,0.7958,0.7106,1.3905,0.6941,1.0208
BTC,18-Nov-22,1.66842E+12,2022/11/14 9:00,16749.82,16648.95,0.8016,0.7811,1.233,0.738,0.9632
BTC,18-Nov-22,1.6685E+12,2022/11/15 9:00,16906.91,16851.06,0.6966,0.7227,0.96,0.6757,0.7884
BTC,18-Nov-22,1.66859E+12,2022/11/16 9:00,16771.09,16740.32,0.6889,0.6523,1.0191,0.6378,0.8087
BTC,18-Nov-22,1.66868E+12,2022/11/17 9:00,16557.73,16536.41,0.6298,0.6336,0.8732,0.5888,0.7135
BTC,25-Nov-22,1.66876E+12,2022/11/18 9:00,16723.76,16694.85,0.6165,0.6,0.9319,0.5754,0.7281
BTC,25-Nov-22,1.66885E+12,2022/11/19 9:00,16623.48,16595.91,0.5955,0.5351,0.9029,0.539,0.7157
BTC,25-Nov-22,1.66893E+12,2022/11/20 9:00,16596.16,16541.42,0.5867,0.5662,0.918,0.5407,0.7108
BTC,25-Nov-22,1.66902E+12,2022/11/21 9:00,16012.78,15963.61,0.7769,0.6703,1.2791,0.6869,0.9669
BTC,25-Nov-22,1.66911E+12,2022/11/22 9:00,15709.49,15658.05,0.7585,0.6853,1.2304,0.6789,0.9461
BTC,25-Nov-22,1.66919E+12,2022/11/23 9:00,16522.26,16503.62,0.6178,0.5809,0.91,0.5725,0.7173
BTC,25-Nov-22,1.66928E+12,2022/11/24 9:00,16577.14,16565.83,0.577,0.5431,0.7594,0.5506,0.6452
BTC,2-Dec-22,1.66937E+12,2022/11/25 9:00,16440.15,16404.37,0.5275,0.5251,0.7328,0.51,0.5966
BTC,2-Dec-22,1.66945E+12,2022/11/26 9:00,16567.26,16532.11,0.4842,0.5024,0.5991,0.4787,0.5296
BTC,2-Dec-22,1.66954E+12,2022/11/27 9:00,16526.38,16502.8,0.4844,0.5335,0.5977,0.4907,0.5237
BTC,2-Dec-22,1.66963E+12,2022/11/28 9:00,16226.81,16207.08,0.5079,0.5169,0.6947,0.4948,0.5682
BTC,2-Dec-22,1.66971E+12,2022/11/29 9:00,16491.65,16486.26,0.5472,0.595,0.6972,0.5503,0.5857
BTC,2-Dec-22,1.6698E+12,2022/11/30 9:00,16887.03,16879.94,0.5317,0.6174,0.6627,0.5486,0.5651
BTC,2-Dec-22,1.66989E+12,2022/12/1 9:00,17111.25,17113.6,0.4371,0.5676,0.54,0.4683,0.46
